"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"ISBNService_TestSuite","ISBNServiceSoapBinding_TestCase","IsValidISBN10","request","OK","","31-Jul-2020 00_33",
"ISBNService_TestSuite","ISBNServiceSoapBinding_TestCase","IsValidISBN13","request","OK","","31-Jul-2020 00_33",
"ISBNService_TestSuite","ISBNServiceSoapBinding_TestCase","IsValidISBN10","request","OK","","31-Jul-2020 00_33",
"ISBNService_TestSuite","ISBNServiceSoapBinding_TestCase","IsValidISBN13","request","OK","","31-Jul-2020 00_33",
